จงหวด,อําเภอ/เขต,ประเดนท ่1 รํางรฐธรรมนูญ,ประเดนท ่2 คําถํามเพ่ิมเตม,,,,,,
,,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ
,เพญ,"16,472",37.49,"27,461",62.51,"14,064",34.56,"26,632",65.44
,เมองอดรธาน,"75,398",47.49,"83,361",52.51,"67,404",44.8,"83,047",55.2
,วงัสามหมอ,"9,854",44.27,"12,406",55.73,"8,160",38.91,"12,813",61.09
,ศรีธาตุ,"9,592",43.88,"12,269",56.12,"8,199",39.67,"12,471",60.33
,สร้างคอม,"3,939",36.58,"6,830",63.42,"3,211",32.07,"6,802",67.93
,หนองววัซอ,"8,614",34.79,"16,143",65.21,"7,444",32.03,"15,800",67.97
,หนองแสง,"4,366",40.6,"6,389",59.4,"3,743",37.89,"6,136",62.11
,หนองหาน,"14,187",33.02,"28,776",66.98,"12,227",30.28,"28,158",69.72
,นอกเขตจงหวดั อดรธาน,832,66.61,417,33.39,731,59.38,500,40.62
อุดรธํานี ผลรวม,"248,092",40.66,"362,063",59.34,"215,084",37.51,"358,338",62.49,
อตรดิตถ,ตรอน,"7,283",45.87,"8,594",54.13,"6,354",42.61,"8,559",57.39
,ทองแสนขน,"8,436",59.55,"5,731",40.45,"7,353",56.77,"5,599",43.23
,ทาปลา,"11,915",68.25,"5,542",31.75,"10,425",64.6,"5,714",35.4
,นาปาด,"11,148",66.8,"5,541",33.2,"9,643",63.66,"5,504",36.34
,บานโคก,"3,639",57.35,"2,706",42.65,"3,052",52.02,"2,815",47.98
,พชย,"14,838",46.69,"16,941",53.31,"12,696",42.53,"17,158",57.47
,ฟากทา,"4,128",60.83,"2,658",39.17,"3,524",56.11,"2,756",43.89
,เมองอตรดิตถ,"44,823",67.01,"22,070",32.99,"39,936",63.55,"22,909",36.45
,ลับแล,"17,742",59.7,"11,977",40.3,"15,612",56.39,"12,072",43.61
,นอกเขตจงหวดั อตรดิตถ,404,64.54,222,35.46,351,56.16,274,43.84
อุตรดตถ์ ผลรวม,"124,356",60.27,"81,982",39.73,"108,946",56.65,"83,360",43.35,
อทยธาน,ทพทน,"11,907",70.93,"4,879",29.07,"10,548",67.44,"5,092",32.56
,บานไร่,"24,055",76.62,"7,339",23.38,"21,426",73.1,"7,883",26.9
,เมองอทยธาน,"18,080",78.09,"5,074",21.91,"16,425",74.54,"5,609",25.46
,ลานสัก,"16,435",71.99,"6,395",28.01,"14,933",68.87,"6,751",31.13
,สวา่งอารมณ์,"9,132",70.93,"3,743",29.07,"8,155",67.99,"3,839",32.01
,หนองขาหยาง,"6,000",77.76,"1,716",22.24,"5,410",74.03,"1,898",25.97
,หนองฉาง,"14,819",75.75,"4,743",24.25,"13,488",72.44,"5,131",27.56
,หวยคต,"6,100",74.25,"2,116",25.75,"5,397",70.19,"2,292",29.81
,นอกเขตจงหวดั อทยธาน,356,75.11,118,24.89,314,67.24,153,32.76
อุทยธํานี ผลรวม,"106,884",74.74,"36,123",25.26,"96,096",71.32,"38,648",28.68,
อบลราชธาน,กดขาวปน้,"8,336",50.46,"8,185",49.54,"6,660",42.37,"9,057",57.63
เขมราฐ,"16,564",56.91,"12,544",43.09,"14,204",52.85,"12,672",47.15,
เของใน,"25,292",59.11,"17,493",40.89,"21,684",54.11,"18,388",45.89,
โขงเจยม,"8,366",59.87,"5,607",40.13,"7,200",55.34,"5,810",44.66,
ดอนมดแดง,"7,131",60.98,"4,563",39.02,"6,123",55.24,"4,961",44.76,
เดชอดม,"35,561",51.78,"33,110",48.22,"29,886",46.78,"34,004",53.22,
ตระการพชผล,"28,880",57.76,"21,122",42.24,"24,133",51.92,"22,348",48.08,
ตาลสุม,"6,752",53.75,"5,811",46.25,"5,807",49.98,"5,811",50.02,
จงหวด,อําเภอ/เขต,ประเดนท ่1 รํางรฐธรรมนูญ,ประเดนท ่2 คําถํามเพ่ิมเตม,,,,,,
,,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ
,ทง่ศรีอดม,"5,566",49.07,"5,776",50.93,"4,571",43.8,"5,866",56.2
นาจะหลวย,"9,256",41.48,"13,059",58.52,"7,738",37.32,"12,998",62.68,
นาตาล,"6,873",53.31,"6,020",46.69,"5,904",49.66,"5,984",50.34,
นาเยย,"5,292",50.13,"5,264",49.87,"4,486",45.76,"5,318",54.24,
นาขน,"6,001",47.38,"6,666",52.62,"4,905",42.16,"6,728",57.84,
นายน,"13,457",49.18,"13,908",50.82,"10,962",43.18,"14,423",56.82,
บณฑริก,"16,919",47.98,"18,347",52.02,"13,795",41.94,"19,094",58.06,
พบลมงสาหาร,"31,630",63.18,"18,437",36.82,"27,453",58.79,"19,240",41.21,
โพธไทร,"9,284",52.28,"8,475",47.72,"7,883",48.06,"8,520",51.94,
มวงสามสิบ,"22,468",60.89,"14,432",39.11,"19,053",54.43,"15,952",45.57,
เมองอบลราชธาน,"58,937",58.2,"42,330",41.8,"52,486",54.51,"43,796",45.49,
วารินชาราบ,"38,070",51.91,"35,262",48.09,"32,923",47.52,"36,353",52.48,
ศรีเมองใหม,"15,768",56.17,"12,303",43.83,"12,978",49.95,"13,002",50.05,
สวา่งวรีะวงศ์,"7,586",58.43,"5,398",41.57,"6,614",53.75,"5,692",46.25,
สาโรง,"10,859",42.16,"14,899",57.84,"8,837",36.17,"15,595",63.83,
สิรินธร,"10,668",56.5,"8,215",43.5,"9,067",52.08,"8,343",47.92,
เหล่าเสือโกก,"7,305",64.2,"4,073",35.8,"7,197",57.82,"5,251",42.18,
นอกเขตจงหวดั อบลราชธาน,"1,080",66.3,549,33.7,944,58.16,679,41.84,
อุบลรําชธํานี ผลรวม,"413,901",54.77,"341,848",45.23,"353,493",49.83,"355,885",50.17,
รวมทง้หมด,"16,820,402",61.35,"10,598,037",38.65,"15,132,050",58.07,"10,926,648",41.93,
