จงหวด,อําเภอ/เขต,ประเดนท ่1 รํางรฐธรรมนูญ,ประเดนท ่2 คําถํามเพ่ิมเตม,,,,,,
,,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ
จนทบร ผลรวม,"176,029",74.74,"59,485",25.26,"161,171",71.42,"64,492",28.58,
ฉะเชงเทรา,คลองเขอน,"4,270",72.1,"1,652",27.9,"3,758",68.63,"1,718",31.37
ทาตะเกยบ,"10,909",63.54,"6,259",36.46,"9,548",61.01,"6,102",38.99,
บางคล้า,"15,548",75.31,"5,097",24.69,"14,130",72.23,"5,432",27.77,
บางนาเปร้ียว,"22,521",63.44,"12,977",36.56,"20,612",60.73,"13,329",39.27,
บางปะกง,"26,458",71.52,"10,537",28.48,"24,464",68.3,"11,354",31.7,
บานโพธ,"17,694",74.46,"6,068",25.54,"16,212",71.67,"6,409",28.33,
แปลงยาว,"13,308",71.48,"5,310",28.52,"12,074",67.77,"5,742",32.23,
พนมสารคาม,"22,623",67.33,"10,979",32.67,"20,778",64.66,"11,355",35.34,
เมองฉะเชงเทรา,"48,392",70.98,"19,782",29.02,"44,731",68.05,"20,999",31.95,
ราชสาส์น,"3,517",59.65,"2,379",40.35,"3,185",57.15,"2,388",42.85,
สนามชยเขต,"16,159",60.96,"10,348",39.04,"13,991",57.96,"10,148",42.04,
จงหวด,อําเภอ/เขต,ประเดนท ่1 รํางรฐธรรมนูญ,ประเดนท ่2 คําถํามเพ่ิมเตม,,,,,,
,,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ
,นอกเขตจงหวดั ฉะเชงเทรา,"2,737",69.03,"1,228",30.97,"2,439",62.47,"1,465",37.53
ฉะเชงเทรํา ผลรวม,"204,136",68.79,"92,616",31.21,"185,922",65.85,"96,441",34.15,
ชลบรี,เกาะจนทร์,"12,036",80.62,"2,893",19.38,"11,222",78.58,"3,059",21.42
,เกาะสีชง,"1,087",71.99,423,28.01,997,69.48,438,30.52
,บอทอง,"15,078",82.7,"3,154",17.3,"13,558",79.79,"3,435",20.21
,บางละมง,"62,566",70.35,"26,372",29.65,"58,468",67.59,"28,041",32.41
,บานบง,"34,570",81.07,"8,074",18.93,"32,259",78.42,"8,878",21.58
,พนสนคม,"43,733",79.68,"11,150",20.32,"40,591",77.09,"12,060",22.91
,พานทอง,"22,197",79.55,"5,707",20.45,"20,681",76.82,"6,239",23.18
,เมองชลบรี,"105,065",78.75,"28,357",21.25,"98,995",75.76,"31,669",24.24
,ศรีราชา,"77,483",75.36,"25,330",24.64,"72,623",72.35,"27,761",27.65
,สัตหบ,"40,476",72.98,"14,987",27.02,"37,982",69.59,"16,599",30.41
,หนองใหญ,"6,650",78.22,"1,852",21.78,"6,076",75.24,"1,999",24.76
,นอกเขตจงหวดั ชลบรี,"9,420",68.88,"4,255",31.12,"8,505",62.8,"5,037",37.2
ชลบร ผลรวม,"430,361",76.45,"132,554",23.55,"401,957",73.46,"145,215",26.54,
ชยนาท,เนนขาม,"4,705",60.95,"3,015",39.05,"3,935",56.68,"3,008",43.32
,มโนรมย,"10,263",68.29,"4,765",31.71,"9,072",64.26,"5,045",35.74
,เมองชยนาท,"21,580",68.56,"9,897",31.44,"19,460",65.48,"10,260",34.52
,วดัสิงห,"7,357",63.35,"4,257",36.65,"6,442",59.37,"4,408",40.63
,สรรคบรี,"14,798",54.55,"12,331",45.45,"13,058",51.48,"12,307",48.52
,สรรพยา,"12,658",64.8,"6,875",35.2,"11,254",61.39,"7,077",38.61
,หนองมะโมง,"6,085",70.31,"2,570",29.69,"5,417",66.84,"2,687",33.16
,หนคา,"16,189",64.54,"8,893",35.46,"14,050",60.6,"9,134",39.4
,นอกเขตจงหวดั ชยนาท,332,71.09,135,28.91,311,67.17,152,32.83
ชยนําท ผลรวม,"93,967",64.05,"52,738",35.95,"82,999",60.55,"54,078",39.45,
ชยภม,เกษตรสมบรณ์,"18,676",44.51,"23,285",55.49,"15,978",41.43,"22,586",58.57
แกงคร้อ,"14,697",42.11,"20,201",57.89,"12,541",39.05,"19,574",60.95,
คอนสวรรค์,"8,998",38.27,"14,514",61.73,"7,773",35.08,"14,385",64.92,
คอนสาร,"12,951",52.48,"11,725",47.52,"11,211",49.54,"11,420",50.46,
จตุรัส,"14,149",46.9,"16,017",53.1,"12,287",43.6,"15,895",56.4,
ซับใหญ,"2,970",48.99,"3,092",51.01,"2,661",46.13,"3,107",53.87,
เทพสถต,"12,959",52.46,"11,745",47.54,"10,971",47.67,"12,043",52.33,
เนนสง่า,"4,847",47.19,"5,425",52.81,"4,187",44.23,"5,279",55.77,
บานเขวา้,"8,240",38.69,"13,057",61.31,"7,049",35.45,"12,833",64.55,
บานแทน,"7,291",40.07,"10,905",59.93,"6,366",37.62,"10,558",62.38,
บาเหนจณรงค์,"12,266",55.68,"9,764",44.32,"10,525",50.83,"10,182",49.17,
ภกดีชมพล,"6,081",51.03,"5,836",48.97,"5,105",46.35,"5,909",53.65,
ภเขยว,"22,778",46.16,"26,568",53.84,"19,549",42.88,"26,041",57.12,
เมองชยภม,"35,021",45.83,"41,395",54.17,"30,325",42.89,"40,386",57.11,
หนองบวแดง,"15,519",41.95,"21,479",58.05,"12,967",38.26,"20,921",61.74,
หนองบวระเหว,"6,047",43.49,"7,856",56.51,"4,990",40.35,"7,376",59.65,
จงหวด,อําเภอ/เขต,ประเดนท ่1 รํางรฐธรรมนูญ,ประเดนท ่2 คําถํามเพ่ิมเตม,,,,,,
,,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ
,นอกเขตจงหวดั ชยภม,565,66.86,280,33.14,509,60.6,331,39.4
ชยภม ผลรวม,"204,055",45.63,"243,144",54.37,"174,994",42.29,"238,826",57.71,
ชมพร,ทาแซะ,"36,747",90,"4,085",10,"34,463",87.32,"5,004",12.68
,ทง่ตะโก,"9,781",89.43,"1,156",10.57,"9,305",87.3,"1,354",12.7
,ปะทว,"20,304",89.6,"2,356",10.4,"19,225",87.22,"2,818",12.78
,พะโต๊ะ,"9,798",88.71,"1,247",11.29,"9,237",85.93,"1,513",14.07
,เมองชมพร,"59,305",90.94,"5,909",9.06,"56,078",88.6,"7,214",11.4
,ละแม,"11,818",89.88,"1,330",10.12,"11,129",86.64,"1,716",13.36
,สว,"31,305",90.57,"3,260",9.43,"29,489",87.8,"4,096",12.2
,หลังสวน,"28,288",88.91,"3,528",11.09,"26,697",86.62,"4,123",13.38
,นอกเขตจงหวดั ชมพร,722,84.44,133,15.56,670,78.36,185,21.64
ชมพร ผลรวม,"208,068",90.04,"23,004",9.96,"196,293",87.51,"28,023",12.49,
เชยงราย,ขนตาล,"6,067",40.49,"8,917",59.51,"5,075",36.76,"8,730",63.24
,เชยงของ,"9,865",35.71,"17,757",64.29,"8,130",31.65,"17,558",68.35
,เชยงแสน,"10,294",46.1,"12,037",53.9,"8,505",41.28,"12,098",58.72
,ดอยหลวง,"3,582",40.46,"5,272",59.54,"2,957",37.03,"5,028",62.97
,เทง,"15,402",37.75,"25,399",62.25,"13,039",34.3,"24,975",65.7
,ปาแดด,"4,787",35.18,"8,822",64.82,"3,963",30.88,"8,869",69.12
,พญาเมงราย,"8,308",42.41,"11,284",57.59,"6,891",38.11,"11,191",61.89
,พาน,"26,905",43.1,"35,526",56.9,"22,393",39.06,"34,938",60.94
,เมองเชยงราย,"54,702",50.04,"54,620",49.96,"47,047",45.91,"55,436",54.09
,แมจน,"20,250",44.06,"25,709",55.94,"17,047",40.39,"25,159",59.61
,แมฟาหลวง,"8,813",53.98,"7,513",46.02,"7,608",50.54,"7,446",49.46
,แมลาว,"7,529",44.2,"9,504",55.8,"6,284",40.29,"9,311",59.71
,แมสรวย,"17,204",49.33,"17,673",50.67,"14,662",45.38,"17,650",54.62
,แมสาย,"16,449",49.31,"16,911",50.69,"14,140",45.29,"17,079",54.71
,เวยีงแกน,"4,893",40.22,"7,274",59.78,"4,004",35.84,"7,168",64.16
,เวยีงชย,"9,215",37.27,"15,513",62.73,"7,844",33.68,"15,443",66.32
,เวยีงเชยงรุ้ง,"5,200",37.77,"8,566",62.23,"4,355",34.44,"8,289",65.56
,เวยีงปาเปา,"17,671",53.68,"15,250",46.32,"15,140",50.14,"15,054",49.86
,นอกเขตจงหวดั เชยงราย,"2,548",64.07,"1,429",35.93,"2,249",57.77,"1,644",42.23
เชยงรําย ผลรวม,"249,684",45.02,"304,976",54.98,"211,333",41.08,"303,066",58.92,
เชยงใหม,กลยาณิวฒันา,"2,769",45.94,"3,259",54.06,"2,393",43.41,"3,120",56.59
จอมทอง,"17,295",45.39,"20,804",54.61,"14,660",41.34,"20,804",58.66,
เชยงดาว,"17,506",54.91,"14,375",45.09,"15,069",51.01,"14,472",48.99,
ไชยปราการ,"8,695",47.98,"9,428",52.02,"7,472",44.86,"9,183",55.14,
ดอยเต่า,"5,767",41.65,"8,080",58.35,"4,819",38.54,"7,684",61.46,
ดอยสะเกด,"18,212",44.71,"22,525",55.29,"15,821",41.12,"22,657",58.88,
ดอยหล่อ,"5,294",33.72,"10,408",66.28,"4,503",31.19,"9,933",68.81,
ฝาง,"24,307",53.1,"21,467",46.9,"21,153",49.52,"21,562",50.48,
พร้าว,"12,377",46.97,"13,975",53.03,"10,473",43.92,"13,374",56.08,
จงหวด,อําเภอ/เขต,ประเดนท ่1 รํางรฐธรรมนูญ,ประเดนท ่2 คําถํามเพ่ิมเตม,,,,,,
,,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ
,เมองเชยงใหม,"55,736",49.57,"56,702",50.43,"50,905",46.25,"59,150",53.75
,แมแจม,"12,973",46.27,"15,066",53.73,"10,694",42.31,"14,579",57.69
,แมแตง,"19,130",50.8,"18,528",49.2,"16,518",47.39,"18,336",52.61
,แมริม,"20,760",46.53,"23,859",53.47,"18,347",43.24,"24,086",56.76
,แมวาง,"8,304",46.69,"9,482",53.31,"7,073",43.46,"9,202",56.54
,แมออน,"4,866",39.39,"7,488",60.61,"4,062",35.88,"7,259",64.12
,แมอาย,"14,035",48.24,"15,062",51.76,"12,261",45.6,"14,629",54.4
,เวยีงแหง,"4,252",56.08,"3,330",43.92,"3,582",50.72,"3,480",49.28
,สะเมง,"6,984",57.36,"5,191",42.64,"5,942",53.06,"5,256",46.94
,สันกาแพง,"17,917",37.1,"30,375",62.9,"15,639",34.04,"30,300",65.96
,สันทราย,"34,157",48.79,"35,850",51.21,"30,726",45.57,"36,704",54.43
,สันปาตอง,"16,567",36.52,"28,792",63.48,"14,338",33.9,"27,956",66.1
,สารภ,"20,800",44.45,"25,993",55.55,"18,343",41.54,"25,810",58.46
,หางดง,"17,951",37.45,"29,984",62.55,"15,783",34.57,"29,869",65.43
,อมกอย,"10,028",45.04,"12,239",54.96,"8,384",41.02,"12,057",58.98
