province,district,one_aye,one_aye100,one_nay,one_nay100,two_aye,two_aye100,two_nay,two_nay100
นครราชสีมา,เมืองนครราชสีมา,150157,73.06,55356,26.94,138084,69.82,59685,30.18
นครราชสีมา,เมืองยาง,5323,49.42,5449,50.58,4609,46.07,5396,53.93
นครราชสีมา,ลำทะเมนชัย,6716,53.17,5916,46.83,5732,49.74,5791,50.26
นครราชสีมา,คำม่วง,11735,64.53,6451,35.47,10441,61.04,6665,38.96
นครราชสีมา,สีคิ้ว,29091,60.45,19036,39.55,25676,56.98,19384,43.02
นครราชสีมา,สีดา,4232,45.33,5104,54.67,3673,41.86,5102,58.14
นครราชสีมา,สูงเนิน,24308,63.1,14212,36.9,21375,59.5,14548,40.5
นครราชสีมา,เสิงสาง,16043,54.77,13250,45.23,13848,50.52,13564,49.48
นครราชสีมา,หนองบุนนาก,16316,59.74,10996,40.26,14110,54.67,11701,45.33
นครราชสีมา,ห้วยแถลง,18739,60.93,12014,39.07,16317,56.94,12340,43.06
นครราชสีมา,นอกเขต,3487,65.42,1843,34.58,3187,60.06,2119,39.94
นครศรีธรรมราช,ขนอม,10983,89.77,1251,10.23,10328,87.1,1530,12.9
นครศรีธรรมราช,ทุ่งใหญ่,27849,88.81,3508,11.19,25994,85.99,4234,14.01
นครศรีธรรมราช,นบพิตำ,11403,82.17,2474,17.83,10579,79.09,2797,20.91
นครศรีธรรมราช,นาบอน,10438,86.93,1570,13.07,9787,84.17,1840,15.83
นครศรีธรรมราช,บางเขน,17291,87.92,2375,12.08,16229,84.76,2917,15.24
นครศรีธรรมราช,ปากพนัง,32714,91.11,3193,8.89,30971,89.11,3784,10.89
นครศรีธรรมราช,พรหมคีรี,14261,87.02,2127,12.98,13397,97.19,388,2.81
นครศรีธรรมราช,พระพรหม,16740,88.85,2101,11.15,15540,86.58,2409,13.42
นครศรีธรรมราช,พิปูน,11189,86.52,1744,13.48,10365,83.74,2013,16.26
